Time	Sealevel
0       0
10.920	35.24800
10.930	33.51500
10.950	30.92700
10.969	25.82600
10.970	28.34000
11.080	25.50800
11.120	23.55600
11.310	21.60300
11.440	19.04000
11.460	16.25700
11.510	2.90450
11.520	5.61410
11.529	8.25040
11.530	13.49900
11.629	14.15800
11.630	16.45200
11.660	19.16200
11.720	21.79800
11.860	24.06800
12.030	23.97100
12.050	22.48200
12.130	19.62600
12.180	16.94000
12.200	14.25500
12.220	11.57000
12.250	8.90940
12.280	6.12670
12.420	3.61240
12.470	16.98900
12.478	1.19580
12.480	14.25500
12.490	19.60100
12.510	22.28600
12.540	25.02000
12.570	27.70500
12.610	30.36600
12.660	33.02700
12.720	35.88300
12.780	37.56700
12.790	39.74000
12.810	42.32700
12.820	34.56500
12.840	31.83100
12.850	29.09700
12.889	21.11500
12.890	23.82400
12.900	18.40500
12.909	15.76900
12.910	26.38700
13.030	28.56000
13.040	26.65600
13.060	24.01900
13.150	21.35900
13.160	18.69800
13.170	16.08600
13.180	13.37700
13.200	10.83800
13.209	23.97100
13.210	26.75300
13.220	29.34100
13.230	32.12400
13.238	34.71100
13.240	37.46900
13.250	40.08100
13.260	42.86400
13.290	45.50000
13.360	48.08800
13.490	47.74600
13.500	45.72000
13.510	43.03500
13.530	40.35000
13.550	37.66500
13.570	29.87800
13.590	32.46500
13.610	35.10200
13.690	37.68900
13.740	40.37400
13.790	43.05900
13.860	52.99400
13.868	45.74400
13.870	50.72400
14.040	43.93800
14.088	46.47700
14.090	54.53200
14.120	57.46100
14.310	58.46200
14.520	59.75600
14.560	57.92500
14.600	59.53600
14.620	55.02000
14.660	52.36000
14.690	49.65000
14.790	46.94100
14.820	44.42600
14.849	49.65000
14.850	52.33500
14.859	41.93600
14.860	55.06900
14.920	57.80300
14.950	60.65900
14.990	58.92600
15.060	56.02100
15.070	53.28700
15.090	50.57800
15.100	47.91700
15.120	45.23200
15.190	42.69300
15.210	40.32500
15.260	45.28100
15.270	58.92600
15.290	47.91700
15.298	50.62600
15.300	56.77800
15.330	54.19000
15.390	51.79800
15.480	48.91800
15.550	46.23300
15.620	43.54700
15.680	40.86200
15.710	38.15300
15.800	35.46800
15.830	32.90500
15.860	30.24400
15.870	27.85200
15.890	38.20200
15.900	40.81400
15.908	35.49200
15.910	43.52300
